"","Sample_3TR","Sample_9TR","Sample_21TR","Sample_24TR","Sample_31TR","Sample_32TR","Sample_38TR","Sample_41TR","Sample_43TR","Sample_49TR","Sample_50TR"
"chr1:805799|810170",9,0,0,2,3,6,0,0,0,3,0
"chr4:109491327|109494856",6,3,0,3,7,3,8,3,4,6,4
"chr4:113363338|113369805",2,0,0,0,0,0,0,0,0,0,0
"chr4:113500463|113517657",2,0,0,0,0,0,0,0,2,0,0
"chr4:113661713|113679496",2,0,0,0,0,0,0,0,0,0,0
"chr4:119023430|119032027",2,0,4,0,0,2,0,0,3,0,3
"chr4:119214070|119260653",2,0,0,0,0,0,0,0,0,0,0
"chr4:120710309|120811449",8,0,2,4,0,4,3,0,0,0,0
"chr4:120754553|120811449",23,5,0,6,6,6,6,0,7,9,4
"chr4:120798267|120821345",2,0,0,0,0,0,0,0,0,0,0
"chr4:127669036|127687867",4,0,3,2,5,5,5,0,11,3,3
"chr4:127921524|127939997",5,0,2,0,0,0,0,0,0,4,4
"chr4:127930683|127933093",2,0,0,0,0,0,0,0,0,0,0
"chr4:128074460|128077962",5,0,4,15,13,13,15,7,10,8,5
"chr4:128121826|128207383",3,0,0,0,0,0,0,0,0,0,0
"chr4:128162194|128179512",2,0,0,0,0,0,0,0,0,0,0
"chr4:128888679|128946152",2,0,2,0,0,0,0,0,0,0,0
"chr4:128936655|128959777",2,0,0,3,5,0,0,2,2,5,4
"chr4:128936655|128970468",4,0,0,0,2,0,2,0,0,0,0
"chr4:128936655|129003876",5,0,0,2,0,0,0,0,0,2,0
"chr4:128992167|129003876",39,16,16,34,35,42,26,20,28,32,23
"chr4:128997874|129003876",3,0,3,5,3,0,4,3,2,4,3
"chr4:133948459|133978893",3,0,0,2,0,3,0,0,0,3,0
"chr4:139060324|139073567",4,0,0,0,0,0,0,0,0,0,0
"chr4:139071866|139073567",2,5,2,0,0,0,0,0,7,2,0
"chr4:139125164|139139497",7,0,6,0,7,6,4,6,5,6,0
"chr4:139137630|139139497",7,0,2,2,4,2,0,0,6,2,0
"chr4:139695197|139704196",2,0,0,0,2,0,0,0,0,3,0
"chr4:139889357|139890967",9,3,0,0,4,5,0,2,3,5,4
"chr4:142402938|142462726",3,4,0,0,3,0,0,0,0,0,0
"chr4:143415477|143440382",3,0,0,0,0,4,0,0,2,0,0
"chr4:143415477|143466225",2,0,0,0,3,2,0,0,0,4,0
"chr4:143543509|143543972",67,38,41,62,66,85,41,43,51,60,55
"chr4:145823422|145849561",3,0,6,5,5,8,0,0,4,3,8
"chr4:145845956|145849561",5,0,4,8,13,4,3,0,0,7,6
"chr4:145845956|145892415",2,0,0,0,0,0,0,0,0,0,0
"chr4:147519851|147542683",4,0,0,2,0,0,0,0,2,0,3
"chr4:147854676|147881932",8,3,3,11,5,8,4,0,9,12,4
"chr4:147857553|147881932",29,14,4,17,12,17,7,5,17,23,6
"chr4:147906638|147955374",2,0,0,0,0,0,0,0,0,0,0
"chr4:147939825|147955374",12,8,6,13,7,7,9,4,6,7,3
"chr4:148152469|148154901",2,0,0,0,2,0,0,0,0,0,0
"chr4:150102478|150102812",2,4,5,8,7,8,3,5,4,3,10
"chr4:150735258|150808398",4,0,0,0,6,2,3,0,2,3,2
"chr4:150761783|150808398",2,0,0,0,0,5,0,0,3,2,0
"chr4:151132331|151135132",7,2,4,4,3,6,4,0,5,2,3
"chr4:151174670|151187463",5,3,4,3,4,3,5,0,9,0,5
"chr4:152411303|152412529",37,28,37,51,44,49,37,36,47,42,38
"chr4:155696756|155722192",5,0,0,0,0,0,0,0,0,3,0
"chr4:159238809|159241368",5,4,0,0,2,5,3,0,0,2,0
"chr4:165219934|165263359",3,0,5,0,0,0,0,0,4,0,0
"chr4:165989381|166025431",2,0,0,0,0,0,0,0,0,0,2
"chr4:166039339|166078030",3,0,0,0,2,0,0,0,0,0,2
"chr4:168471747|168472809",3,0,0,0,0,0,0,0,0,0,0
"chr4:168709028|168711923",2,0,0,0,0,0,0,0,0,0,0
"chr4:168890922|168903906",2,0,3,3,3,0,2,3,2,4,0
"chr4:168890922|168916027",2,7,4,9,8,7,13,3,3,0,4
"chr4:169155480|169156679",2,2,0,0,0,0,2,0,2,0,0
"chr4:169537809|169556095",2,0,0,2,0,2,0,0,0,3,0
"chr4:173384651|173403950",3,3,0,2,5,0,5,0,0,3,3
"chr4:183193599|183209025",2,0,0,0,0,0,0,0,0,0,0
"chr4:185247294|185267155",5,0,3,0,6,7,2,2,8,4,2
"chr4:185320733|185346650",3,0,2,0,0,0,0,0,0,0,0
"chr4:185523362|185525171",12,0,0,2,14,13,0,0,0,9,0
"chr4:185626832|185649656",2,0,0,0,0,0,2,0,0,0,0
"chr4:186663299|186709845",5,4,3,11,5,5,7,0,4,7,7
"chr4:186706563|186709845",30,33,65,92,54,35,60,10,66,79,62
"chr5:228185|233645",5,0,0,2,3,0,0,0,0,0,0
"chr5:6337150|6362475",2,0,0,0,0,0,0,0,0,0,0
"chr5:6623214|6625669",2,4,2,0,0,0,0,0,0,0,0
"chr5:10415488|10417404",11,3,11,8,13,5,11,4,13,8,10
"chr5:14363732|14420021",2,0,0,0,0,0,0,0,0,0,0
"chr5:31448547|31451640",3,0,2,0,4,0,3,0,0,4,0
"chr5:32135572|32143880",6,7,8,5,7,9,3,9,4,6,3
"chr5:32403106|32404097",3,0,0,0,0,0,0,0,0,0,0
"chr5:34686872|34757598",3,0,0,0,2,3,3,3,0,0,2
"chr5:36136309|36143406",2,0,0,0,0,0,0,0,0,0,0
"chr5:36953618|36962274",2,0,4,0,3,0,2,0,2,2,0
"chr5:36953618|36976402",18,8,8,6,10,14,10,10,16,19,11
"chr5:36953618|36986301",5,0,3,0,0,4,0,0,4,2,4
"chr5:36982165|36986301",2,4,9,4,6,0,4,6,11,6,0
"chr5:38481299|38530666",2,0,0,0,3,3,0,2,2,2,0
"chr5:38493606|38504121",2,0,0,0,0,0,0,0,0,0,0
"chr5:38523419|38530666",17,8,8,13,7,19,10,8,22,14,10
"chr5:38990949|39003622",2,0,4,3,3,2,0,3,0,4,0
"chr5:38990949|39021136",2,0,4,4,7,4,0,0,0,5,3
"chr5:39002535|39021136",2,0,3,0,0,0,0,2,0,0,2
"chr5:39382618|39388852",7,0,7,24,7,19,11,0,14,11,9
"chr5:40764514|40771863",2,0,0,0,0,0,0,0,2,0,0
"chr5:43161249|43161931",2,0,0,2,6,2,0,2,5,2,2
"chr5:43675511|43704400",11,0,2,2,3,6,10,5,6,10,5
"chr5:55267138|55272175",2,0,0,0,0,0,0,0,0,0,0
"chr5:55273293|55281515",2,0,0,0,0,0,0,0,0,0,0
"chr5:55475299|55491114",2,0,0,0,0,0,0,0,3,0,3
"chr5:55645789|55664863",3,0,0,0,0,0,4,0,3,3,3
"chr5:55960402|55968396",2,0,0,0,0,0,0,0,0,0,0
"chr5:56856600|56888357",2,0,0,0,0,0,0,0,0,0,0
"chr5:56864734|56865977",3,6,5,5,0,0,0,5,8,2,3
"chr5:57246300|57251141",8,7,8,4,9,4,3,4,7,9,3
"chr5:58988493|58993465",8,0,4,0,3,3,0,0,3,0,0
"chr5:60638750|60647533",2,0,0,0,0,0,0,0,0,0,0
"chr5:64788951|64804386",4,0,3,3,2,0,7,0,0,0,3
"chr5:65451475|65473952",11,8,10,17,18,7,13,13,10,4,7
"chr5:65567513|65572286",3,7,0,4,3,0,0,2,0,6,3
"chr5:65988635|65994864",15,7,5,7,14,9,5,7,8,16,2
"chr5:65988635|66014725",17,5,6,6,4,11,0,6,2,6,3
"chr5:65992710|66014725",2,0,0,0,0,0,0,0,2,0,0
"chr5:66021322|66054951",3,3,0,3,0,3,0,2,0,0,0
"chr5:66046353|66054951",2,0,0,0,0,0,0,0,0,0,0
"chr5:66053406|66054951",14,0,0,6,10,0,3,5,3,4,4
"chr5:66759709|66788794",6,0,5,0,0,3,0,4,4,7,5
"chr5:71502599|71512428",8,2,8,16,9,7,0,3,5,5,6
"chr5:71502599|71517452",2,0,0,0,0,0,0,0,0,0,0
"chr5:71509465|71511151",6,0,0,3,3,3,0,0,0,2,0
"chr5:71544357|71549606",2,0,0,0,3,0,0,0,0,0,0
"chr5:71592926|71604468",3,0,0,0,0,0,3,0,0,0,0
"chr5:72861808|72865729",2,4,2,0,4,5,2,3,2,2,0
"chr5:72989427|72990864",6,5,3,7,2,6,0,0,6,6,4
"chr5:73051349|73068779",2,0,0,0,0,0,0,0,0,0,0
"chr5:73058433|73077493",2,2,3,8,0,6,7,4,9,14,8
"chr5:73074742|73077493",62,37,55,75,54,46,40,37,55,61,37
"chr5:73074742|73082825",2,0,0,3,0,0,0,2,2,0,2
"chr5:73840480|73840760",2,0,5,0,6,2,4,4,3,7,4
"chr5:74745678|74750667",3,0,0,0,2,3,0,0,11,4,5
"chr5:77046347|77048272",3,0,0,9,2,0,0,0,0,3,0
"chr5:77098655|77118521",2,0,0,0,0,0,0,0,0,3,0
"chr5:77449760|77463226",2,0,2,0,2,0,3,3,2,2,0
"chr5:77449760|77464809",5,0,0,4,7,0,5,3,0,7,0
"chr5:77449760|77489572",3,0,3,3,3,0,0,0,0,2,2
"chr5:77463095|77464809",2,4,2,0,2,0,0,0,0,2,0
"chr5:78128030|78165672",4,0,0,0,4,0,0,0,0,0,0
"chr5:79396823|79457018",5,4,0,5,8,8,5,5,7,3,5
"chr5:79439010|79457018",11,12,22,22,32,6,17,16,25,6,13
"chr5:79640851|79669028",3,0,0,0,0,0,0,0,2,2,0
"chr5:80449591|80474830",2,0,0,0,0,0,0,0,0,0,0
"chr5:80775694|80792844",2,6,4,3,4,2,2,0,2,3,0
"chr5:80775694|80813741",2,0,0,0,0,0,0,0,0,0,0
"chr5:81612562|81652326",2,0,0,0,0,0,2,0,0,0,0
"chr5:81612562|81657076",2,0,0,0,2,0,0,0,0,2,0
"chr5:81615473|81650339",5,0,2,5,7,5,4,0,0,0,4
"chr5:81615473|81652326",2,0,0,0,0,2,0,0,0,2,0
"chr5:83537007|83542268",3,2,0,0,0,3,0,0,0,4,0
"chr5:83537007|83555038",3,0,2,0,0,0,4,2,0,0,0
"chr5:88220563|88245792",4,2,2,4,6,8,4,0,4,3,3
"chr5:93553761|93563463",3,0,0,0,2,0,0,0,0,0,2
"chr5:93776159|93784499",2,2,0,0,0,3,0,0,0,0,0
"chr5:94888879|94912976",3,0,2,0,0,0,0,0,2,0,0
"chr5:94909251|94924021",3,0,0,0,3,0,3,2,0,3,0
"chr5:95736889|95763620",2,0,0,0,0,0,0,4,2,0,0
"chr5:95736889|95783963",2,3,0,0,5,0,0,2,3,2,0
"chr5:95755396|95763620",65,41,24,14,40,37,11,14,50,21,34
"chr5:95763508|95783963",2,4,4,5,0,0,0,0,4,2,0
"chr5:96757444|96767999",3,0,0,0,0,4,0,0,0,0,0
"chr5:98879552|98881375",2,0,0,0,0,3,0,3,2,0,0
"chr5:103003033|103009866",2,0,0,0,0,0,0,0,2,0,0
"chr5:108348399|108367953",3,0,2,0,2,0,0,0,0,0,0
"chr5:108768093|108798389",2,4,0,0,2,0,0,0,0,0,0
"chr5:108798124|108798389",4,0,0,0,0,0,0,0,0,0,0
"chr5:108867767|108883518",2,0,0,0,0,0,0,0,4,0,0
"chr5:108867767|108897848",2,0,0,3,0,3,0,0,0,0,3
"chr5:108883396|108959347",5,0,0,0,0,0,0,0,0,2,0
"chr5:108946130|108959347",3,0,0,3,0,0,0,0,0,0,0
"chr5:109713520|109716264",17,7,20,27,20,16,8,9,10,19,22
"chr5:109713520|109729513",19,6,7,11,13,12,13,5,9,16,15
"chr5:112985835|113001674",2,0,3,0,2,0,2,0,0,0,0
"chr5:112985835|113004077",3,4,0,0,0,0,0,0,2,0,3
"chr5:113553767|113563492",2,0,0,0,2,2,0,0,0,0,0
"chr5:114404438|114404856",5,5,8,10,6,8,2,2,8,3,3
"chr5:115866670|115870128",4,0,0,0,0,0,0,3,0,0,0
"chr5:119240419|119244576",2,0,2,3,3,0,0,2,3,0,0
"chr5:122795266|122803613",2,0,0,0,0,0,0,0,0,0,0
"chr5:123545417|123557564",25,20,22,18,25,39,15,14,23,21,11
"chr5:123545417|123575963",8,3,2,0,2,7,5,0,4,2,7
"chr5:124639133|124701269",2,0,2,0,0,2,0,0,0,2,0
"chr5:124701014|124701269",3,0,0,4,3,0,0,0,6,4,0
"chr5:126469677|126484524",3,0,0,0,0,0,0,0,0,0,0
"chr5:126559240|126570859",2,0,0,0,0,0,0,0,0,0,0
"chr5:128138597|128152805",2,0,0,0,0,4,0,0,4,0,0
"chr5:129526284|129528677",3,0,0,0,0,0,0,0,2,0,0
"chr5:129526284|129551907",3,0,0,0,0,0,2,0,0,0,0
"chr5:129526284|129596664",3,0,0,0,0,0,0,0,2,0,0
"chr5:129679764|129704391",12,0,4,0,0,0,4,0,4,0,0
"chr5:130798539|130811692",8,0,0,0,0,0,0,0,0,17,10
"chr5:131677703|131709272",4,3,2,2,7,6,0,0,4,7,6
"chr5:131698917|131709272",2,0,3,0,0,0,0,2,0,0,0
"chr5:132883340|132885119",3,0,3,3,0,0,0,0,0,2,0
"chr5:132892164|132893118",6,0,7,0,6,9,7,3,7,6,3
"chr5:132927121|132934941",7,0,3,0,0,4,0,0,3,0,9
"chr5:132927121|132937740",2,0,0,0,0,0,0,0,0,0,2
"chr5:133091193|133092789",2,0,3,0,0,0,0,0,2,2,0
"chr5:134197776|134206131",2,0,0,0,2,0,0,0,0,0,0
"chr5:134666823|134671886",5,2,0,0,3,2,0,2,2,4,0
"chr5:134674615|134676125",2,0,3,0,0,0,0,0,0,0,2
"chr5:134692602|134697246",2,0,0,0,0,0,0,0,0,0,0
"chr5:134741063|134744052",9,2,2,4,4,7,3,0,2,2,7
"chr5:136147832|136154163",5,0,4,4,8,7,3,0,3,5,3
"chr5:136147832|136163391",3,0,0,0,0,0,0,0,0,0,0
"chr5:137757867|137759020",3,0,5,3,0,0,0,0,5,0,3
"chr5:137942875|137943216",5,2,2,3,7,4,4,2,3,0,3
"chr5:137952628|137954376",6,2,6,3,8,5,5,0,2,3,3
"chr5:137985257|137988315",98,29,75,63,71,69,51,35,74,78,62
"chr5:138006990|138011945",3,2,0,0,0,4,0,0,0,0,2
"chr5:138006990|138019146",2,0,0,0,0,0,0,0,2,0,0
"chr5:138006990|138021197",3,3,0,0,0,0,3,0,0,0,0
"chr5:138398178|138400012",2,0,0,0,0,0,0,0,3,0,0
"chr5:139121035|139127853",3,0,0,0,0,0,0,0,0,0,0
"chr5:139278327|139279129",2,0,0,2,0,0,0,2,0,0,0
"chr5:139363759|139364743",9,7,11,7,19,11,5,8,14,14,10
"chr5:139600372|139614966",6,3,6,2,10,0,4,4,2,3,0
"chr5:139600372|139623461",2,0,0,4,8,0,0,3,3,0,2
"chr5:139614586|139614966",4,2,4,0,0,4,4,0,3,0,6
"chr5:139614586|139623461",3,0,5,0,3,0,0,2,0,3,0
"chr5:142885298|142932125",4,2,2,0,0,5,0,0,0,0,4
"chr5:143037196|143057747",2,0,0,2,0,0,3,5,0,0,2
"chr5:145659668|145670816",2,0,0,0,0,0,0,0,0,0,0
"chr5:145659668|145704295",3,0,0,0,0,0,0,0,0,0,0
"chr5:145665254|145704295",2,0,0,0,0,0,0,0,0,0,0
"chr5:146254943|146258593",11,0,3,5,2,6,2,0,4,0,0
"chr5:148394714|148417204",2,0,0,0,0,0,0,0,0,0,0
"chr5:149505447|149513209",2,0,0,0,0,0,3,0,2,0,2
"chr5:151198997|151205475",2,0,0,0,0,0,0,0,0,0,0
"chr5:151673190|151674644",3,0,0,0,0,0,0,0,0,0,0
"chr5:151790323|151791062",4,0,7,8,14,9,3,3,6,4,5
"chr5:153997803|154034967",2,0,0,3,4,2,0,2,0,0,3
"chr5:154029489|154034967",7,0,6,6,6,3,5,0,5,3,4
"chr5:154033791|154034967",22,3,8,21,27,23,26,4,25,26,19
"chr5:154790325|154803745",2,0,0,0,0,0,0,0,0,0,0
"chr5:154865192|154872651",2,0,0,0,0,0,0,0,0,0,0
"chr5:154950821|154967237",5,0,4,0,0,0,0,0,0,2,2
"chr5:155854549|155870424",2,0,0,0,0,0,0,2,0,0,0
"chr5:160093101|160094065",3,0,0,2,0,3,0,0,2,2,0
"chr5:160093101|160108614",2,0,0,0,0,0,0,0,0,0,0
"chr5:168488602|168494650",30,26,23,14,29,46,22,17,31,33,27
"chr5:168488602|168497348",2,8,3,2,13,2,5,5,3,4,6
"chr5:168493894|168510686",2,0,0,0,0,0,0,0,0,0,0
"chr5:168500591|168518062",3,0,2,0,0,2,0,0,0,2,0
"chr5:168566013|168566266",3,0,0,0,0,0,0,0,0,0,0
"chr5:170878097|170896115",5,0,0,4,3,6,0,0,0,3,6
"chr5:171183195|171205612",5,0,6,12,18,7,9,3,0,8,9
"chr5:171183199|171205612",4,0,2,5,0,6,8,2,4,0,3
"chr5:171391305|171392978",5,0,6,2,3,0,0,0,0,3,4
"chr5:172932436|172935310",3,0,0,4,3,0,3,0,0,0,0
"chr5:173108624|173112379",2,0,0,0,4,4,0,0,4,2,0
"chr5:176289654|176296320",3,0,0,3,0,0,0,0,2,0,0
"chr5:176943335|176958154",20,13,17,23,25,16,10,15,26,24,19
"chr5:176975396|176982623",4,2,0,0,0,0,0,0,0,0,2
"chr5:177191884|177204292",2,0,0,5,4,2,4,0,0,4,0
"chr5:177191884|177212195",4,4,2,10,0,0,0,3,0,5,4
"chr5:177209636|177212195",5,2,5,6,2,3,2,0,0,7,3
"chr5:177536358|177539147",8,5,0,0,8,10,7,8,13,7,8
"chr5:177619078|177632738",6,5,8,7,6,0,5,0,8,8,6
"chr5:177626436|177632738",6,0,0,0,0,0,0,0,2,0,2
"chr5:177631366|177632738",3,0,0,0,0,0,0,0,0,0,0
"chr5:179841907|179844227",3,0,0,0,0,0,0,0,0,0,0
"chr5:179888103|179888312",3,0,7,5,4,4,4,0,2,6,2
"chr5:180261684|180280608",8,3,5,12,4,7,4,6,3,8,6
"chr5:180549931|180553471",2,3,0,0,2,0,0,0,0,0,2
"chr6:2263601|2273417",5,5,4,3,0,0,3,0,2,0,0
"chr6:2397221|2399037",4,0,2,0,2,0,0,0,2,0,0
"chr6:3076764|3077935",9,4,9,9,6,4,5,5,11,12,7
"chr6:4891713|4892379",54,46,60,78,57,45,59,38,126,77,61
"chr6:5404542|5431172",5,0,0,4,2,0,3,4,4,6,4
"chr6:7176655|7189322",8,7,11,12,5,9,6,8,12,7,5
"chr6:7181124|7189322",8,3,0,3,0,2,4,0,3,0,0
"chr6:7303550|7310029",3,0,0,7,0,4,6,0,4,0,3
"chr6:10702369|10702639",2,0,0,0,0,2,0,0,0,0,0
"chr6:13579451|13584225",9,2,5,4,9,0,7,3,9,2,3
"chr6:13632370|13644729",7,3,9,7,5,6,5,0,10,5,5
"chr6:13639563|13644729",5,0,0,8,5,4,3,2,9,3,9
"chr6:16326394|16328470",46,17,36,31,34,23,31,17,37,56,29
"chr6:16585780|16753347",5,0,0,0,2,0,0,2,2,2,0
"chr6:16657776|16753347",3,0,0,0,0,0,0,0,0,0,0
"chr6:17539269|17543143",2,0,2,0,0,0,0,0,0,0,0
"chr6:17665239|17669028",3,0,3,0,0,0,2,0,0,0,3
"chr6:17764155|17764946",2,0,0,0,0,0,0,0,0,0,0
"chr6:18236452|18258405",28,22,19,17,32,17,24,9,29,24,0
"chr6:18255731|18258405",2,0,0,0,0,0,0,0,0,0,0
"chr6:18256361|18258405",3,0,0,0,0,0,4,0,0,0,0
"chr6:22020339|22020542",7,0,0,0,0,0,0,0,0,0,0
"chr6:22056546|22110920",3,2,0,0,0,0,0,0,0,0,0
"chr6:24416397|24418578",2,0,0,0,0,0,0,0,0,0,0
"chr6:24872881|24875817",2,0,0,0,0,0,0,0,0,0,0
"chr6:25482257|25500235",2,0,0,0,0,0,0,0,0,0,0
"chr6:25580924|25610181",2,0,0,0,0,0,0,0,0,0,0
"chr6:25604812|25606273",2,0,0,0,3,3,0,0,0,0,0
"chr6:30650994|30651466",14,4,4,9,9,12,8,4,9,8,12
"chr6:31269493|31354526",3,0,0,0,0,0,0,4,3,0,0
"chr6:35619096|35642843",2,0,4,2,0,5,3,2,0,4,0
"chr6:35619096|35646850",2,0,0,0,0,0,0,0,0,0,0
"chr6:35619096|35680422",2,0,0,0,0,0,0,0,0,0,0
"chr6:35619096|35684485",2,0,0,0,0,0,0,0,0,0,0
"chr6:36894504|36914693",2,0,0,0,0,0,0,0,0,0,0
"chr6:38577600|38598121",5,0,4,0,2,0,0,0,0,3,2
"chr6:38577600|38600008",2,0,0,0,0,0,0,0,0,0,0
"chr6:42268154|42269848",2,0,0,0,0,0,0,0,0,3,2
"chr6:42663258|42666245",2,0,0,0,0,5,0,0,0,0,0
"chr6:42822796|42830172",3,3,0,0,0,0,0,0,0,0,0
"chr6:42934475|42935670",4,0,0,0,2,0,3,0,4,0,2
"chr6:42972883|42975038",2,0,0,0,0,0,0,0,2,0,0
"chr6:42974003|42975038",11,2,4,8,4,0,0,0,4,6,5
"chr6:47503280|47504758",2,0,3,3,3,0,0,0,0,0,4
"chr6:53071057|53076543",5,3,3,7,9,9,0,3,3,5,8
"chr6:56101472|56141983",8,0,0,0,2,0,0,0,0,0,3
"chr6:56981711|56992555",2,0,3,2,0,0,0,0,0,0,2
"chr6:57050774|57055797",3,0,4,5,5,2,4,2,0,4,6
"chr6:57124734|57142095",2,0,0,0,0,0,2,0,0,0,2
"chr6:57141302|57148693",2,0,0,0,0,0,0,0,0,2,0
"chr6:57152221|57161152",3,0,0,0,0,3,0,0,0,0,0
"chr6:57193842|57210445",29,21,26,28,20,32,36,13,19,35,40
"chr6:57318437|57326045",2,0,0,6,3,0,2,2,0,0,0
"chr6:69737942|69790472",4,0,2,0,2,0,0,0,0,3,2
"chr6:70426439|70452571",3,0,3,3,0,0,2,0,0,2,0
"chr6:70475410|70502791",2,0,0,0,0,3,0,0,4,0,0
"chr6:72295937|72333835",8,0,0,0,0,3,0,0,0,2,3
"chr6:73480675|73482244",2,0,0,4,2,0,2,0,0,0,0
"chr6:73723251|73736508",6,4,3,2,4,7,0,0,0,3,3
"chr6:75188362|75192355",2,0,0,0,0,0,0,0,0,0,0
"chr6:75353539|75414978",2,0,0,0,0,0,0,0,0,0,0
"chr6:75621532|75623960",2,0,0,0,0,0,0,0,0,0,0
"chr6:75634707|75670720",7,2,0,0,0,0,2,0,0,3,0
"chr6:75634707|75678927",3,4,2,0,7,3,2,0,7,2,0
"chr6:75647731|75678927",5,0,0,0,0,0,0,0,0,3,5
"chr6:75647731|75697517",4,0,0,0,2,0,0,0,0,0,2
"chr6:75659262|75678927",2,0,0,0,3,6,2,0,3,4,0
"chr6:75702645|75703072",11,3,8,6,4,7,3,7,7,7,4
"chr6:77271340|77273307",3,0,0,0,0,2,0,0,0,0,0
"chr6:79042843|79060818",7,2,4,3,0,0,3,0,3,9,3
"chr6:82210814|82212793",8,4,0,2,0,9,0,0,3,4,4
"chr6:82214227|82214829",7,4,3,3,7,4,0,3,2,6,3
"chr6:82225477|82231842",2,0,0,0,0,0,0,0,0,0,0
"chr6:83132176|83142046",2,0,0,0,0,0,0,0,0,0,0
"chr6:84185187|84204096",4,0,0,0,2,2,0,0,5,3,0
"chr6:85557976|85572374",3,0,0,0,0,0,0,0,0,0,0
"chr6:85557976|85574378",2,0,0,0,4,3,0,0,0,0,0
"chr6:85618818|85619417",4,3,3,0,0,0,3,2,2,6,0
"chr6:87210451|87218731",14,6,15,16,22,12,14,0,14,25,10
"chr6:87215903|87218731",31,20,26,28,45,25,18,26,36,27,27
"chr6:89083753|89084643",2,0,0,0,3,3,0,2,0,4,0
"chr6:89751431|89753622",4,0,0,0,0,0,0,0,0,2,0
"chr6:89751431|89762530",2,0,0,0,0,3,2,0,2,0,0
"chr6:89846562|89857199",3,0,2,0,2,2,0,0,3,3,2
"chr6:98875415|98927822",3,0,0,0,0,0,0,0,0,0,0
"chr6:98875415|98934879",4,0,0,0,0,0,0,0,2,0,2
"chr6:98880553|98934879",2,0,0,0,0,0,0,0,0,0,0
"chr6:98899268|98934879",6,2,2,2,0,0,0,0,2,0,0
"chr6:99439769|99465136",3,0,2,0,2,2,0,0,0,3,0
"chr6:100715462|100725703",3,0,4,2,3,0,0,3,0,0,0
"chr6:100715462|100805880",2,0,0,0,0,0,0,0,0,0,2
"chr6:100766565|100805880",2,2,0,0,3,0,4,0,3,0,0
"chr6:100798713|100805880",2,4,2,3,2,0,3,4,2,2,3
"chr6:104744160|104750472",2,3,0,0,0,0,2,0,2,0,0
"chr6:104833042|104843298",4,3,4,0,3,3,4,0,4,3,0
"chr6:104833042|104849246",3,3,2,2,0,0,0,0,0,0,0
"chr6:105115686|105125578",2,0,0,0,0,0,0,0,3,4,2
"chr6:107503657|107506427",3,2,14,6,10,9,0,5,6,16,13
"chr6:107503657|107533610",2,0,4,0,0,0,0,0,3,11,0
"chr6:107921797|107929514",4,2,0,0,0,0,0,0,0,0,0
"chr6:108910899|108936999",3,0,0,0,0,3,0,0,0,0,0
"chr6:109419187|109436199",3,0,0,0,0,0,0,0,0,0,0
"chr6:109475399|109476930",6,0,2,0,0,0,0,0,0,0,0
"chr6:110315342|110332565",2,0,0,0,0,0,0,0,0,3,0
"chr6:110746126|110785609",2,0,0,0,2,0,0,0,0,0,0
"chr6:110887505|110890356",9,8,7,0,7,9,2,6,10,2,0
"chr6:110960414|110962505",2,0,0,0,0,0,0,0,0,0,0
"chr6:111262257|111263946",3,0,0,3,0,2,0,0,0,0,5
"chr6:111307361|111315381",2,0,0,0,0,0,0,0,0,0,0
"chr6:111329532|111333367",3,0,0,0,4,0,0,0,0,0,0
"chr6:111329532|111368028",2,0,0,0,0,0,0,0,0,0,0
"chr6:111335469|111359014",3,0,0,0,0,0,0,0,0,0,0
"chr6:111349218|111357125",4,0,0,0,2,5,0,0,2,0,0
"chr6:111349218|111368028",2,0,0,0,0,0,0,0,0,0,0
"chr6:111363853|111368028",3,0,0,2,5,0,0,0,3,0,4
"chr6:111372596|111405630",2,0,0,0,0,0,0,0,0,0,0
"chr6:111387765|111392972",3,0,0,0,0,0,2,0,2,0,0
"chr6:111387765|111416472",2,2,3,0,4,3,5,2,0,2,0
"chr6:111387765|111474479",7,0,0,2,3,0,0,0,0,4,0
"chr6:111405470|111416472",3,0,0,0,2,2,2,0,3,2,0
"chr6:111405470|111472140",12,3,4,5,4,6,0,4,2,6,0
"chr6:116689320|116692392",12,2,5,7,21,14,10,13,6,8,12
"chr6:116689320|116705160",5,0,0,0,0,5,0,0,0,0,2
"chr6:116692055|116726622",4,0,0,0,0,4,0,0,3,0,0
"chr6:118511298|118566316",4,0,2,3,3,3,0,0,4,2,3
"chr6:125045211|125058106",2,0,2,2,2,5,0,2,2,7,2
"chr6:126111219|126177335",2,0,0,0,0,0,0,0,0,0,0
"chr6:127000283|127071086",2,0,0,0,0,0,0,0,0,0,0
"chr6:127148648|127155438",3,0,2,0,2,0,0,0,0,0,0
"chr6:129177706|129192853",2,0,0,0,0,0,0,0,0,0,0
"chr6:130926605|130956499",21,2,12,8,12,7,12,7,8,10,0
"chr6:130955105|130956499",12,0,3,13,5,9,2,2,5,2,4
"chr6:131145285|131169273",3,3,0,0,6,0,6,2,7,0,5
"chr6:131598287|131608071",2,0,0,0,0,0,0,0,0,0,0
"chr6:131854926|131886724",2,0,0,0,0,0,0,0,0,0,0
"chr6:131860387|131861704",2,0,2,0,0,0,0,0,0,2,0
"chr6:131884931|131886724",3,2,2,3,0,0,4,0,0,2,0
"chr6:132090446|132106916",2,0,0,0,0,0,0,0,0,0,0
"chr6:133980082|133987168",2,0,0,0,0,3,0,0,0,0,0
"chr6:135039573|135042126",3,3,4,2,8,5,0,0,7,0,3
